index,title,slug,tags,difficulty,related_questions
1,Two Sum,two-sum,"Array,Hash Table",Easy,"15,18,167,170,560,653,1083,1798,1830,2116,2133,2320"
2,Add Two Numbers,add-two-numbers,"Linked List,Math,Recursion",Medium,"43,67,371,415,445,1031,1774"
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,"Hash Table,String,Sliding Window",Medium,"159,340,1034,1813,2209"
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,"Array,Binary Search,Divide and Conquer",Hard,
5,Longest Palindromic Substring,longest-palindromic-substring,"String,Dynamic Programming",Medium,"214,266,336,516,647"
6,Zigzag Conversion,zigzag-conversion,String,Medium,
7,Reverse Integer,reverse-integer,Math,Medium,"8,190,2238"
8,String to Integer (atoi),string-to-integer-atoi,String,Medium,"7,65,2168"
9,Palindrome Number,palindrome-number,Math,Easy,"234,1375"
10,Regular Expression Matching,regular-expression-matching,"String,Dynamic Programming,Recursion",Hard,44
11,Container With Most Water,container-with-most-water,"Array,Two Pointers,Greedy",Medium,42
12,Integer to Roman,integer-to-roman,"Hash Table,Math,String",Medium,"13,273"
13,Roman to Integer,roman-to-integer,"Hash Table,Math,String",Easy,12
14,Longest Common Prefix,longest-common-prefix,String,Easy,
15,3Sum,3sum,"Array,Two Pointers,Sorting",Medium,"1,16,18,259"
16,3Sum Closest,3sum-closest,"Array,Two Pointers,Sorting",Medium,"15,259"
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,"Hash Table,String,Backtracking",Medium,"22,39,401"
18,4Sum,4sum,"Array,Two Pointers,Sorting",Medium,"1,15,454,2122"
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,"Linked List,Two Pointers",Medium,"528,1618,2216"
20,Valid Parentheses,valid-parentheses,"String,Stack",Easy,"22,32,301,1045,2221"
21,Merge Two Sorted Lists,merge-two-sorted-lists,"Linked List,Recursion",Easy,"23,88,148,244,1774,2071"
22,Generate Parentheses,generate-parentheses,"String,Dynamic Programming,Backtracking",Medium,"17,20,2221"
23,Merge k Sorted Lists,merge-k-sorted-lists,"Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort",Hard,"21,264"
24,Swap Nodes in Pairs,swap-nodes-in-pairs,"Linked List,Recursion",Medium,"25,528"
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,"Linked List,Recursion",Hard,"24,528,2196"
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,"Array,Two Pointers",Easy,"27,80"
27,Remove Element,remove-element,"Array,Two Pointers",Easy,"26,203,283"
28,Implement strStr(),implement-strstr,"Two Pointers,String,String Matching",Easy,"214,459"
29,Divide Two Integers,divide-two-integers,"Math,Bit Manipulation",Medium,
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,"Hash Table,String,Sliding Window",Hard,76
31,Next Permutation,next-permutation,"Array,Two Pointers",Medium,"46,47,60,267,1978"
32,Longest Valid Parentheses,longest-valid-parentheses,"String,Dynamic Programming,Stack",Hard,20
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,"Array,Binary Search",Medium,"81,153,2273"
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,"Array,Binary Search",Medium,"278,2165,2210"
35,Search Insert Position,search-insert-position,"Array,Binary Search",Easy,278
36,Valid Sudoku,valid-sudoku,"Array,Hash Table,Matrix",Medium,"37,2254"
37,Sudoku Solver,sudoku-solver,"Array,Backtracking,Matrix",Hard,"36,1022"
38,Count and Say,count-and-say,String,Medium,"271,443"
39,Combination Sum,combination-sum,"Array,Backtracking",Medium,"17,40,77,216,254,377"
40,Combination Sum II,combination-sum-ii,"Array,Backtracking",Medium,39
41,First Missing Positive,first-missing-positive,"Array,Hash Table",Hard,"268,287,448,770"
42,Trapping Rain Water,trapping-rain-water,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack",Hard,"11,238,407,756"
